ite,time_1,time_2,ans
265,0,5.41E-5,
266,0,5.1E-5,
267,0,5.34E-5,
268,0,5.46E-5,
269,0,5.1E-5,
270,0,4.27E-5,
271,0.001,9.117E-4,
272,0,8.29E-5,
273,0,8.25E-5,
274,0,8.26E-5,
275,0,8.75E-5,
276,0,5.28E-5,
277,0,1.76E-5,
278,0,1.72E-5,
279,0,1.71E-5,
280,0,7.72E-5,
281,0,1.107E-4,
282,0,5.6E-5,
283,0,1.81E-5,
284,0,1.75E-5,
285,0,1.72E-5,
286,0,2.23E-5,
287,0,2.4E-5,
288,0,1.72E-5,
289,0,2.54E-5,
290,0,5.82E-5,
291,0,4.3E-5,
292,0.001,4.4E-5,
293,0,2.85E-5,
294,0,7.31E-5,
295,0,2.38E-5,
296,0,2.42E-5,
297,0,1.75E-5,
298,0,1.89E-5,
299,0,1.94E-5,
300,0.001,0.0010162,
301,0,1.93E-5,
302,0,1.94E-5,
303,0,1.72E-5,
304,0,2.25E-5,
305,0,2.01E-5,
306,0,1.7E-5,
307,0,1.7E-5,
308,0,5.66E-5,
309,0,4.43E-5,
310,0,4.47E-5,
311,0,4.41E-5,
312,0,4.36E-5,
313,0,2.72E-5,
314,0,1.76E-5,
315,0,1.68E-5,
316,0,1.7E-5,
317,0,1.7E-5,
318,0,1.83E-5,
319,0,1.69E-5,
320,0,1.7E-5,
321,0,1.69E-5,
322,0,1.73E-5,
323,0,2.47E-5,
324,0,5.4E-5,
325,0,5.12E-5,
326,0,5.1E-5,
327,0,5.07E-5,
328,0.001,0.0010915,
329,0,4.18E-5,
330,0,4.38E-5,
331,0,4.15E-5,
332,0,1.63E-5,
333,0,2.11E-5,
334,0,6.76E-5,
335,0,5.91E-5,
336,0,6.14E-5,
337,0,5.34E-5,
338,0,5.49E-5,
339,0,4.54E-5,
340,0,6.63E-5,
341,0,5.55E-5,
342,0,2.79E-5,
343,0,1.061E-4,
344,0,2.6E-5,
345,0,1.75E-5,
346,0,1.88E-5,
347,0,2.32E-5,
348,0,1.74E-5,
349,0,1.73E-5,
350,0,9.009E-4,
351,0,5.55E-5,
352,0,5.23E-5,
353,0,4.43E-5,
354,0,3.42E-5,
355,0,2.43E-5,
356,0,2.85E-5,
357,0,2.19E-5,
358,0,1.88E-5,
359,0,1.82E-5,
360,0,2.09E-5,
361,0,1.68E-5,
362,0,2.36E-5,
363,0,5.61E-5,
364,0,6.86E-5,
